Year  LAIUnit Area  Fortnight        L<=9   
 72   B1      Or/Sh  01-15Sep        1133   
 72   B2      Or/Sh  16-30Sep        4583   
 72   C1      Buchan 01-15Sep          30   
 72   C2      Buchan 16-30Sep           0   
 72   D1      CNS    01-15Sep         165   
 72   D2      CNS    16-30Sep          88   
 72   D3      CNS    01-15Oct         134   
 72   D4      CNS    16-31Oct          22   
 72   E6      SNS    16-31Dec           2   
 72   E7      SNS    01-15Jan          46   
 72   E8      SNS    16-31Jan           0   
 73   B1      Or/Sh  01-15Sep        2029   
 73   B2      Or/Sh  16-30Sep         822   
 73   C1      Buchan 01-15Sep           3   
 73   C2      Buchan 16-30Sep           4   
 73   D1      CNS    01-15Sep         492   
 73   D2      CNS    16-30Sep         830   
 73   D3      CNS    01-15Oct        1213   
 73   D4      CNS    16-31Oct         152   
 73   E8      SNS    16-31Jan           1   
 74   B1      Or/Sh  01-15Sep         758   
 74   B2      Or/Sh  16-30Sep         421   
 74   C1      Buchan 01-15Sep         101   
 74   C2      Buchan 16-30Sep         284   
 74   D1      CNS    01-15Sep          81   
 74   D3      CNS    01-15Oct        1184   
 74   E7      SNS    01-15Jan          10   
 75   B1      Or/Sh  01-15Sep         371   
 75   B2      Or/Sh  16-30Sep          50   
 75   C1      Buchan 01-15Sep         312   
 75   D2      CNS    16-30Sep          90   
 75   D3      CNS    01-15Oct          77   
 75   D4      CNS    16-31Oct           6   
 75   E6      SNS    16-31Dec           1   
 75   E7      SNS    01-15Jan           2   
 75   E8      SNS    16-31Jan           0   
 76   B1      Or/Sh  01-15Sep         545   
 76   B2      Or/Sh  16-30Sep          81   
 76   C1      Buchan 01-15Sep           0   
 76   C2      Buchan 16-30Sep           1   
 76   D1      CNS    01-15Sep          64   
 76   D2      CNS    16-30Sep         108   
 76   D3      CNS    01-15Oct           0   
 76   D4      CNS    16-31Oct          10   
 76   E7      SNS    01-15Jan           3   
 77   B1      Or/Sh  01-15Sep        1133   
 77   B2      Or/Sh  16-30Sep         221   
 77   C1      Buchan 01-15Sep         124   
 77   C2      Buchan 16-30Sep          32   
 77   D1      CNS    01-15Sep         520   
 77   D2      CNS    16-30Sep         262   
 77   D3      CNS    01-15Oct          89   
 77   D4      CNS    16-31Oct           3   
 77   E6      SNS    16-31Dec           1   
 77   E7      SNS    01-15Jan           0   
 78   B1      Or/Sh  01-15Sep        3047   
 78   B2      Or/Sh  16-30Sep          50   
 78   C2      Buchan 16-30Sep         162   
 78   D1      CNS    01-15Sep        1406   
 78   D2      CNS    16-30Sep          81   
 78   D3      CNS    01-15Oct         269   
 78   D4      CNS    16-31Oct           2   
 78   E6      SNS    16-31Dec          33   
 78   E7      SNS    01-15Jan           3   
 79   B1      Or/Sh  01-15Sep        2882   
 79   B2      Or/Sh  16-30Sep        2362   
 79   C1      Buchan 01-15Sep         197   
 79   C2      Buchan 16-30Sep          10   
 79   D1      CNS    01-15Sep         662   
 79   D2      CNS    16-30Sep         131   
 79   D3      CNS    01-15Oct         507   
 79   D4      CNS    16-31Oct           7   
 79   E7      SNS    01-15Jan         111   
 79   E8      SNS    16-31Jan          89   
 80   B1      Or/Sh  01-15Sep        3534   
 80   B2      Or/Sh  16-30Sep         720   
 80   C1      Buchan 01-15Sep          21   
 80   C2      Buchan 16-30Sep           1   
 80   D1      CNS    01-15Sep         317   
 80   D2      CNS    16-30Sep         188   
 80   D3      CNS    01-15Oct           9   
 80   D4      CNS    16-31Oct          13   
 80   E6      SNS    16-31Dec         247   
 80   E7      SNS    01-15Jan         129   
 80   E8      SNS    16-31Jan          40   
 81   B1      Or/Sh  01-15Sep        3667   
 81   B2      Or/Sh  16-30Sep         277   
 81   C1      Buchan 01-15Sep           3   
 81   C2      Buchan 16-30Sep          12   
 81   D1      CNS    01-15Sep         903   
 81   D2      CNS    16-30Sep         235   
 81   D3      CNS    01-15Oct         119   
