Herring in Area 4 (CANUM: Number in thousands), fleet A
1 2
1997 2016
0 9
1
0 18400 445900 419500 245600 85900 22800 10800 9000 8900
0 19200 1024600 497300 252700 157300 81500 15100 9400 9500
900 36900 479700 1004700 280700 130900 66600 25800 8500 3300
14300 93500 486700 470400 587200 183000 77700 27800 16100 2600
0 35600 682400 469200 258200 293000 70200 39700 38600 2400
0 77500 427200 874300 281500 131400 159700 46000 33200 7200
1700 59200 952900 502000 799100 240500 104700 118800 36800 8300
0 2700 252900 1298600 510600 714600 168600 99100 69700 22000
400 42300 196300 469500 1313000 477600 573600 114700 107800 39100
7600 14300 334100 308200 471800 1012600 257500 253300 64600 44700
20500 21000 142100 412800 284000 307400 628100 146800 132900 23200
66300 78400 259700 182800 198700 137300 118200 215000 74300 42900
39600 20900 240800 108000 96500 87600 39500 57600 112100 34100
0 49100 237400 229600 123100 79800 57500 34200 59400 56000
0 11000 306200 270900 217600 129500 62700 51800 59800 65300
1000 42600 404400 667100 402700 305300 149500 104300 89100 108500
0 220300 218400 481800 569300 421500 326200 144900 151800 160400
51800 123500 301300 378000 612200 482900 282500 190200 91000 121500
0 22100 454200 240600 281600 456100 430900 270100 167200 170300
0 2300 556200 807100 292700 281300 368000 308000 186300 173900
