Herring in Area 4 (CANUM: Number in thousands), fleet A
1 2
1997 2016
0 9
1
363500 156900 23800 4800 600 2600 100 0 0 0
208200 231600 32800 1700 4500 800 600 100 200 0
968300 44100 21000 20400 4300 1000 800 200 0 0
858300 91000 19000 4900 3000 700 0 0 1300 0
1024900 47000 21900 8600 10700 1100 4800 500 100 0
318800 412900 77800 23500 1700 1600 1400 200 200 0
345800 112800 69200 1900 4400 400 400 500 100 0
627200 133000 5900 6800 2900 1900 800 200 500 0
918700 365800 0 0 0 0 0 0 0 0
835900 57800 20300 1000 3800 4700 0 0 500 0
532800 25200 0 0 0 0 0 0 0 0
646300 70100 0 0 0 0 0 0 0 0
493700 77500 12700 400 0 0 200 0 0 0
594700 34500 6600 3800 1100 3600 5600 0 0 0
575100 113100 0 0 0 0 0 0 0 0
626400 67400 7200 4200 0 700 1400 0 400 0
460700 106500 20600 600 1500 500 700 300 900 0
1051900 185500 400 900 1600 2400 800 800 300 900
507500 203200 0 0 0 0 0 0 0 0
1450300 83600 23000 9600 1200 0 800 0 0 0
