Herring in Area 4 (CANUM: Number in thousands), fleet A
1 2
1997 2016
0 9
1
8900 249000 156000 67300 11800 5500 1700 700 900 0
18800 649500 141200 25600 18200 2700 3100 1200 500 0
42000 180600 129300 50200 13000 6000 1200 400 400 0
63100 485400 105800 21400 19800 7500 2900 300 100 0
16100 344000 140900 16600 1400 300 500 0 0 0
10200 201000 51500 5100 700 200 100 0 0 0
1900 167500 142100 12400 16000 1800 1100 1200 200 0
13200 18800 114200 12000 4400 8700 1600 1900 800 0
11300 174600 115900 12400 4700 2100 1900 300 200 0
6000 93300 42100 7300 2400 2100 400 300 100 0
14200 150300 59500 1900 300 1400 200 600 0 0
4300 59200 52600 1700 200 100 100 300 100 0
1000 49600 6400 300 200 0 0 0 100 0
100 120500 39400 300 100 100 0 100 0 0
2300 19400 59700 3100 300 200 100 100 0 0
600 70600 35500 1800 1100 200 200 100 0 0
900 64300 68500 2300 300 300 0 0 0 0
300 50300 60100 5000 500 500 200 0 100 0
2000 50700 77900 6900 1300 4900 1100 1200 400 0
0 10800 42100 5900 500 200 200 0 100 0
