Herring in Area 4 (CANUM: Number in thousands), fleet D
1 2
1997 2016
0 9
1
84.8 102.6 54.5 4.2 0.5 0.2 0.1 0 0 0
34.8 105.7 22.1 1.3 1.1 0.3 0 0 0 0
554 68.4 17.4 2 0.4 0.2 0 0.1 0 0
173.1 498.9 9.8 0.5 3 0.1 0.3 0.3 0 0
791.7 0 9.1 0.5 0 0 0 0 0 0
468.3 161.6 5.2 0.5 0.1 0 0 0 0 0
19.7 277.5 40.2 0.7 0.2 0 0.1 0 0 0
75.2 52.1 65.7 8.7 1.6 1 0.2 0.1 0 0
85.1 132.9 43.3 3.7 0.6 0.2 0.3 0.2 0 0
29.1 56.8 8.1 2.9 0.8 1.2 0.1 0.1 0 0
53.5 39 17.4 0.2 0.1 0.1 0.1 0 0 0
81.3 27.4 19.4 0.2 0 0 0 0 0 0
115.8 27.9 0.6 0 0 0 0 0 0 0
48.6 76.6 4 0 0 0 0 0 0 0
201.5 16 1.7 0.2 0 0 0 0 0 0
145.2 104.2 7.6 0 0 0 0 0 0 0
0 21.9 17.3 0.1 0 0 0 0 0 0
284.5 10.8 20.1 0.9 0 0 0 0 0 0
28.7 118.9 19.6 0.1 0 0 0 0 0 0
133.3 12.5 5.4 0.1 0 0.1 0 0 0 0
