Proportion	Mature	at	Year	Start					
1	6								
1976	2016								
1	10								
1
0	0.011	0.045	0.171	0.475	0.799	0.946	0.987	0.997	0.999
0	0.011	0.045	0.171	0.475	0.799	0.946	0.987	0.997	0.999
0	0.011	0.045	0.171	0.475	0.799	0.946	0.987	0.997	0.999
0	0.011	0.045	0.171	0.475	0.799	0.946	0.987	0.997	0.999
0	0.011	0.045	0.171	0.475	0.799	0.946	0.987	0.997	0.999
0	0.011	0.045	0.171	0.475	0.799	0.946	0.987	0.997	0.999
0	0.011	0.045	0.171	0.475	0.799	0.946	0.987	0.997	0.999
0	0.011	0.045	0.171	0.475	0.799	0.946	0.987	0.997	0.999
0	0.011	0.045	0.171	0.475	0.799	0.946	0.987	0.997	0.999
0	0.011	0.045	0.171	0.475	0.799	0.946	0.987	0.997	0.999
0	0.011	0.045	0.171	0.475	0.799	0.946	0.987	0.997	0.999
0	0.011	0.045	0.171	0.475	0.799	0.946	0.987	0.997	0.999
0	0.011	0.045	0.171	0.475	0.799	0.946	0.987	0.997	0.999
0	0.011	0.045	0.171	0.475	0.799	0.946	0.987	0.997	0.999
0	0.011	0.045	0.171	0.475	0.799	0.946	0.987	0.997	0.999
0	0.011	0.045	0.171	0.475	0.799	0.946	0.987	0.997	0.999
0	0.011	0.045	0.171	0.475	0.799	0.946	0.987	0.997	0.999
0	0.011	0.045	0.171	0.475	0.799	0.946	0.987	0.997	0.999
0	0.011	0.045	0.171	0.475	0.799	0.946	0.987	0.997	0.999
0	0.011	0.045	0.171	0.475	0.799	0.946	0.987	0.997	0.999
0	0.011	0.045	0.171	0.475	0.799	0.946	0.987	0.997	0.999
0	0.011	0.045	0.171	0.475	0.799	0.946	0.987	0.997	0.999
0	0.011	0.045	0.171	0.475	0.799	0.946	0.987	0.997	0.999
0	0.011	0.045	0.171	0.475	0.799	0.946	0.987	0.997	0.999
0	0.011	0.045	0.171	0.475	0.799	0.946	0.987	0.997	0.999
0	0.011	0.045	0.171	0.475	0.799	0.946	0.987	0.997	0.999
0	0.011	0.045	0.171	0.475	0.799	0.946	0.987	0.997	0.999
0	0.011	0.045	0.171	0.475	0.799	0.946	0.987	0.997	0.999
0	0.011	0.045	0.171	0.475	0.799	0.946	0.987	0.997	0.999
0	0.011	0.045	0.171	0.475	0.799	0.946	0.987	0.997	0.999
0	0.011	0.045	0.171	0.475	0.799	0.946	0.987	0.997	0.999
0	0.077	0.196	0.415	0.674	0.858	0.946	0.981	0.993	0.998
0	0.077	0.196	0.415	0.674	0.858	0.946	0.981	0.993	0.998
0	0.077	0.196	0.415	0.674	0.858	0.946	0.981	0.993	0.998
0	0.077	0.196	0.415	0.674	0.858	0.946	0.981	0.993	0.998
0	0.077	0.196	0.415	0.674	0.858	0.946	0.981	0.993	0.998
0	0.077	0.196	0.415	0.674	0.858	0.946	0.981	0.993	0.998
0	0.077	0.196	0.415	0.674	0.858	0.946	0.981	0.993	0.998
0	0.077	0.196	0.415	0.674	0.858	0.946	0.981	0.993	0.998
0	0.077	0.196	0.415	0.674	0.858	0.946	0.981	0.993	0.998
0	0.077	0.196	0.415	0.674	0.858	0.946	0.981	0.993	0.998
