ReleaseY	RecaptureY	Yearclass	Nscan	R	r	Type
1976	1986	1974	194000	723	0	1
1976	1987	1974	205000	723	0	1
1977	1986	1974	194000	2413	0	1
1977	1986	1975	208000	276	0	1
1977	1987	1974	205000	2413	0	1
1977	1987	1975	197000	276	0	1
1977	1988	1975	70000	276	0	1
1978	1986	1974	194000	4658	0	1
1978	1986	1975	208000	2630	0	1
1978	1986	1976	126000	338	0	1
1978	1987	1974	205000	4658	0	1
1978	1987	1975	197000	2630	0	1
1978	1987	1976	240000	338	0	1
1978	1988	1975	70000	2630	0	1
1978	1988	1976	156000	338	0	1
1978	1989	1976	121000	338	0	1
1979	1986	1974	194000	5127	0	1
1979	1986	1975	208000	4278	0	1
1979	1986	1976	126000	910	0	1
1979	1986	1977	51000	6	0	1
1979	1987	1974	205000	5127	0	1
1979	1987	1975	197000	4278	0	1
1979	1987	1976	240000	910	0	1
1979	1987	1977	278000	6	0	1
1979	1988	1975	70000	4278	0	1
1979	1988	1976	156000	910	0	1
1979	1988	1977	136000	6	0	1
1979	1989	1976	121000	910	0	1
1979	1989	1977	81000	6	0	1
1979	1990	1977	11000	6	0	1
1980	1986	1974	194000	1837	0	1
1980	1986	1975	208000	1809	0	1
1980	1986	1976	126000	1712	0	1
1980	1986	1977	51000	300	0	1
1980	1986	1978	221000	215	0	1
1980	1987	1974	205000	1837	0	1
1980	1987	1975	197000	1809	0	1
1980	1987	1976	240000	1712	0	1
1980	1987	1977	278000	300	0	1
1980	1987	1978	319000	215	0	1
1980	1988	1975	70000	1809	0	1
1980	1988	1976	156000	1712	0	1
1980	1988	1977	136000	300	0	1
1980	1988	1978	286000	215	0	1
1980	1989	1976	121000	1712	1	1
1980	1989	1977	81000	300	0	1
1980	1989	1978	94000	215	0	1
1980	1990	1977	11000	300	0	1
1980	1990	1978	163000	215	0	1
1980	1991	1978	172000	215	0	1
1981	1986	1974	194000	1234	0	1
1981	1986	1975	208000	1241	0	1
1981	1986	1976	126000	1227	0	1
1981	1986	1977	51000	197	0	1
1981	1986	1978	221000	1508	0	1
1981	1986	1979	611000	493	0	1
1981	1987	1974	205000	1234	0	1
1981	1987	1975	197000	1241	0	1
1981	1987	1976	240000	1227	0	1
1981	1987	1977	278000	197	0	1
1981	1987	1978	319000	1508	0	1
1981	1987	1979	802000	493	1	1
1981	1988	1975	70000	1241	0	1
1981	1988	1976	156000	1227	0	1
1981	1988	1977	136000	197	0	1
1981	1988	1978	286000	1508	0	1
1981	1988	1979	485000	493	0	1
1981	1989	1976	121000	1227	0	1
1981	1989	1977	81000	197	0	1
1981	1989	1978	94000	1508	0	1
1981	1989	1979	241000	493	0	1
1981	1990	1977	11000	197	0	1
1981	1990	1978	163000	1508	0	1
1981	1990	1979	85000	493	0	1
1981	1991	1978	172000	1508	0	1
1981	1991	1979	266000	493	0	1
1981	1992	1979	220000	493	0	1
1982	1986	1974	194000	870	0	1
1982	1986	1975	208000	1168	0	1
1982	1986	1976	126000	1175	0	1
1982	1986	1977	51000	162	1	1
1982	1986	1978	221000	1518	0	1
