"t1" "t2" "age" "M" "PM" "SW" "CW" "DW" "LF"
"1" 1974 1974.25 0 0.29 0 0 0 0 1
"196" 1974 1974.25 1 0.29 0.2 9 7 7 1
"391" 1974 1974.25 2 0.39 1 25 22 22 1
"586" 1974 1974.25 3 0.44 1 40 40 40 1
"781" 1974 1974.25 4 0.44 1 56 56 56 1
"2" 1974.25 1974.5 0 0.29 0 0 0 0 1
"197" 1974.25 1974.5 1 0.29 0.2 12 15 15 1
"392" 1974.25 1974.5 2 0.39 1 25 34 34 1
"587" 1974.25 1974.5 3 0.44 1 50 50 50 1
"782" 1974.25 1974.5 4 0.44 1 56 56 56 1
"3" 1974.5 1974.75 0 0.29 0 4 4 4 1
"198" 1974.5 1974.75 1 0.29 0.2 25 25 25 1
"393" 1974.5 1974.75 2 0.39 1 40 43 43 1
"588" 1974.5 1974.75 3 0.44 1 60 60 60 1
"783" 1974.5 1974.75 4 0.44 1 0 0 0 1
"4" 1974.75 1975 0 0.29 0 6 6 6 1
"199" 1974.75 1975 1 0.29 0.2 25 23 23 1
"394" 1974.75 1975 2 0.39 1 40 42 42 1
"589" 1974.75 1975 3 0.44 1 58 58 58 1
"784" 1974.75 1975 4 0.44 1 0 0 0 1
"5" 1975 1975.25 0 0.29 0 0 0 0 1
"200" 1975 1975.25 1 0.29 0.2 9 7 7 1
"395" 1975 1975.25 2 0.39 1 25 22 22 1
"590" 1975 1975.25 3 0.44 1 40 40 40 1
"785" 1975 1975.25 4 0.44 1 56 56 56 1
"6" 1975.25 1975.5 0 0.29 0 0 0 0 1
"201" 1975.25 1975.5 1 0.29 0.2 12 15 15 1
"396" 1975.25 1975.5 2 0.39 1 25 34 34 1
"591" 1975.25 1975.5 3 0.44 1 50 50 50 1
"786" 1975.25 1975.5 4 0.44 1 56 56 56 1
"7" 1975.5 1975.75 0 0.29 0 4 4 4 1
"202" 1975.5 1975.75 1 0.29 0.2 25 25 25 1
"397" 1975.5 1975.75 2 0.39 1 40 43 43 1
"592" 1975.5 1975.75 3 0.44 1 60 60 60 1
"787" 1975.5 1975.75 4 0.44 1 0 0 0 1
"8" 1975.75 1976 0 0.29 0 6 6 6 1
"203" 1975.75 1976 1 0.29 0.2 25 23 23 1
"398" 1975.75 1976 2 0.39 1 40 42 42 1
"593" 1975.75 1976 3 0.44 1 58 58 58 1
"788" 1975.75 1976 4 0.44 1 0 0 0 1
"9" 1976 1976.25 0 0.29 0 0 0 0 1
"204" 1976 1976.25 1 0.29 0.2 9 7 7 1
"399" 1976 1976.25 2 0.39 1 25 22 22 1
"594" 1976 1976.25 3 0.44 1 40 40 40 1
"789" 1976 1976.25 4 0.44 1 56 56 56 1
"10" 1976.25 1976.5 0 0.29 0 0 0 0 1
"205" 1976.25 1976.5 1 0.29 0.2 12 15 15 1
"400" 1976.25 1976.5 2 0.39 1 25 34 34 1
"595" 1976.25 1976.5 3 0.44 1 50 50 50 1
"790" 1976.25 1976.5 4 0.44 1 56 56 56 1
"11" 1976.5 1976.75 0 0.29 0 4 4 4 1
"206" 1976.5 1976.75 1 0.29 0.2 25 25 25 1
"401" 1976.5 1976.75 2 0.39 1 40 43 43 1
"596" 1976.5 1976.75 3 0.44 1 60 60 60 1
"791" 1976.5 1976.75 4 0.44 1 0 0 0 1
"12" 1976.75 1977 0 0.29 0 6 6 6 1
"207" 1976.75 1977 1 0.29 0.2 25 23 23 1
"402" 1976.75 1977 2 0.39 1 40 42 42 1
"597" 1976.75 1977 3 0.44 1 58 58 58 1
"792" 1976.75 1977 4 0.44 1 0 0 0 1
"13" 1977 1977.25 0 0.29 0 0 0 0 1
"208" 1977 1977.25 1 0.29 0.2 9 7 7 1
"403" 1977 1977.25 2 0.39 1 25 22 22 1
"598" 1977 1977.25 3 0.44 1 40 40 40 1
"793" 1977 1977.25 4 0.44 1 56 56 56 1
"14" 1977.25 1977.5 0 0.29 0 0 0 0 1
"209" 1977.25 1977.5 1 0.29 0.2 12 15 15 1
"404" 1977.25 1977.5 2 0.39 1 25 34 34 1
"599" 1977.25 1977.5 3 0.44 1 50 50 50 1
"794" 1977.25 1977.5 4 0.44 1 56 56 56 1
"15" 1977.5 1977.75 0 0.29 0 4 4 4 1
"210" 1977.5 1977.75 1 0.29 0.2 25 25 25 1
"405" 1977.5 1977.75 2 0.39 1 40 43 43 1
"600" 1977.5 1977.75 3 0.44 1 60 60 60 1
"795" 1977.5 1977.75 4 0.44 1 0 0 0 1
"16" 1977.75 1978 0 0.29 0 6 6 6 1
"211" 1977.75 1978 1 0.29 0.2 25 23 23 1
"406" 1977.75 1978 2 0.39 1 40 42 42 1
"601" 1977.75 1978 3 0.44 1 58 58 58 1
"796" 1977.75 1978 4 0.44 1 0 0 0 1
"17" 1978 1978.25 0 0.29 0 0 0 0 1
"212" 1978 1978.25 1 0.29 0.2 9 7 7 1
"407" 1978 1978.25 2 0.39 1 25 22 22 1
"602" 1978 1978.25 3 0.44 1 40 40 40 1
"797" 1978 1978.25 4 0.44 1 56 56 56 1
"18" 1978.25 1978.5 0 0.29 0 0 0 0 1
"213" 1978.25 1978.5 1 0.29 0.2 12 15 15 1
"408" 1978.25 1978.5 2 0.39 1 25 34 34 1
"603" 1978.25 1978.5 3 0.44 1 50 50 50 1
"798" 1978.25 1978.5 4 0.44 1 56 56 56 1
"19" 1978.5 1978.75 0 0.29 0 4 4 4 1
"214" 1978.5 1978.75 1 0.29 0.2 25 25 25 1
"409" 1978.5 1978.75 2 0.39 1 40 43 43 1
"604" 1978.5 1978.75 3 0.44 1 60 60 60 1
"799" 1978.5 1978.75 4 0.44 1 0 0 0 1
"20" 1978.75 1979 0 0.29 0 6 6 6 1
"215" 1978.75 1979 1 0.29 0.2 25 23 23 1
"410" 1978.75 1979 2 0.39 1 40 42 42 1
"605" 1978.75 1979 3 0.44 1 58 58 58 1
"800" 1978.75 1979 4 0.44 1 0 0 0 1
"21" 1979 1979.25 0 0.29 0 0 0 0 1
"216" 1979 1979.25 1 0.29 0.2 9 7 7 1
"411" 1979 1979.25 2 0.39 1 25 22 22 1
"606" 1979 1979.25 3 0.44 1 40 40 40 1
"801" 1979 1979.25 4 0.44 1 56 56 56 1
"22" 1979.25 1979.5 0 0.29 0 0 0 0 1
"217" 1979.25 1979.5 1 0.29 0.2 12 15 15 1
"412" 1979.25 1979.5 2 0.39 1 25 34 34 1
"607" 1979.25 1979.5 3 0.44 1 50 50 50 1
"802" 1979.25 1979.5 4 0.44 1 56 56 56 1
"23" 1979.5 1979.75 0 0.29 0 4 4 4 1
"218" 1979.5 1979.75 1 0.29 0.2 25 25 25 1
"413" 1979.5 1979.75 2 0.39 1 40 43 43 1
"608" 1979.5 1979.75 3 0.44 1 60 60 60 1
"803" 1979.5 1979.75 4 0.44 1 0 0 0 1
"24" 1979.75 1980 0 0.29 0 6 6 6 1
"219" 1979.75 1980 1 0.29 0.2 25 23 23 1
"414" 1979.75 1980 2 0.39 1 40 42 42 1
"609" 1979.75 1980 3 0.44 1 58 58 58 1
"804" 1979.75 1980 4 0.44 1 0 0 0 1
"25" 1980 1980.25 0 0.29 0 0 0 0 1
"220" 1980 1980.25 1 0.29 0.2 9 7 7 1
"415" 1980 1980.25 2 0.39 1 25 22 22 1
"610" 1980 1980.25 3 0.44 1 40 40 40 1
"805" 1980 1980.25 4 0.44 1 56 56 56 1
"26" 1980.25 1980.5 0 0.29 0 0 0 0 1
"221" 1980.25 1980.5 1 0.29 0.2 12 15 15 1
"416" 1980.25 1980.5 2 0.39 1 25 34 34 1
"611" 1980.25 1980.5 3 0.44 1 50 50 50 1
"806" 1980.25 1980.5 4 0.44 1 56 56 56 1
"27" 1980.5 1980.75 0 0.29 0 4 4 4 1
