"t1" "t2" "ageFrom" "ageTo" "obs" "fleet"
"1" 1974 1974.25 0 0 0 1
"196" 1974 1974.25 1 1 13450.43 1
"391" 1974 1974.25 2 2 413.9 1
"586" 1974 1974.25 3 3 26.47 1
"781" 1974 1974.25 4 4 0.51 1
"2" 1974.25 1974.5 0 0 0 1
"197" 1974.25 1974.5 1 1 7872.55 1
"392" 1974.25 1974.5 2 2 193.09 1
"587" 1974.25 1974.5 3 3 25.65 1
"782" 1974.25 1974.5 4 4 0.69 1
"3" 1974.5 1974.75 0 0 845.54 1
"198" 1974.5 1974.75 1 1 9965.92 1
"393" 1974.5 1974.75 2 2 488.54 1
"588" 1974.5 1974.75 3 3 144.81 1
"783" 1974.5 1974.75 4 4 0 1
"4" 1974.75 1975 0 0 5720.21 1
"199" 1974.75 1975 1 1 7808.59 1
"394" 1974.75 1975 2 2 140.07 1
"589" 1974.75 1975 3 3 4.37 1
"784" 1974.75 1975 4 4 0 1
"5" 1975 1975.25 0 0 0 1
"200" 1975 1975.25 1 1 3741.72 1
"395" 1975 1975.25 2 2 1726.45 1
"590" 1975 1975.25 3 3 13.19 1
"785" 1975 1975.25 4 4 0.48 1
"6" 1975.25 1975.5 0 0 0 1
"201" 1975.25 1975.5 1 1 7205.82 1
"396" 1975.25 1975.5 2 2 383.19 1
"591" 1975.25 1975.5 3 3 1.81 1
"786" 1975.25 1975.5 4 4 0.16 1
"7" 1975.5 1975.75 0 0 888.6 1
"202" 1975.5 1975.75 1 1 7116.6 1
"397" 1975.5 1975.75 2 2 348.94 1
"592" 1975.5 1975.75 3 3 0.34 1
"787" 1975.5 1975.75 4 4 0 1
"8" 1975.75 1976 0 0 9967.65 1
"203" 1975.75 1976 1 1 2027.44 1
"398" 1975.75 1976 2 2 460.66 1
"593" 1975.75 1976 3 3 1.29 1
"788" 1975.75 1976 4 4 0 1
"9" 1976 1976.25 0 0 0 1
"204" 1976 1976.25 1 1 4949.79 1
"399" 1976 1976.25 2 2 589.18 1
"594" 1976 1976.25 3 3 91.35 1
"789" 1976 1976.25 4 4 0.22 1
"10" 1976.25 1976.5 0 0 0 1
"205" 1976.25 1976.5 1 1 7580.12 1
"400" 1976.25 1976.5 2 2 644.55 1
"595" 1976.25 1976.5 3 3 57.9 1
"790" 1976.25 1976.5 4 4 0.29 1
"11" 1976.5 1976.75 0 0 197.15 1
"206" 1976.5 1976.75 1 1 5348.52 1
"401" 1976.5 1976.75 2 2 589.53 1
"596" 1976.5 1976.75 3 3 2.32 1
"791" 1976.5 1976.75 4 4 0 1
"12" 1976.75 1977 0 0 5985.85 1
"207" 1976.75 1977 1 1 3156.96 1
"402" 1976.75 1977 2 2 319.87 1
"597" 1976.75 1977 3 3 15.2 1
"792" 1976.75 1977 4 4 0 1
"13" 1977 1977.25 0 0 0 1
"208" 1977 1977.25 1 1 9170.85 1
"403" 1977 1977.25 2 2 949.6 1
"598" 1977 1977.25 3 3 33.41 1
"793" 1977 1977.25 4 4 2.51 1
"14" 1977.25 1977.5 0 0 0 1
"209" 1977.25 1977.5 1 1 3577.33 1
"404" 1977.25 1977.5 2 2 367.06 1
"599" 1977.25 1977.5 3 3 8.14 1
"794" 1977.25 1977.5 4 4 0 1
"15" 1977.5 1977.75 0 0 60.67 1
"210" 1977.5 1977.75 1 1 3579.66 1
"405" 1977.5 1977.75 2 2 860.66 1
"600" 1977.5 1977.75 3 3 44.93 1
"795" 1977.5 1977.75 4 4 0 1
"16" 1977.75 1978 0 0 1655.02 1
"211" 1977.75 1978 1 1 3540.32 1
"406" 1977.75 1978 2 2 236.33 1
"601" 1977.75 1978 3 3 4.73 1
"796" 1977.75 1978 4 4 0 1
"17" 1978 1978.25 0 0 0 1
"212" 1978 1978.25 1 1 2930.84 1
"407" 1978 1978.25 2 2 1371.23 1
"602" 1978 1978.25 3 3 93.22 1
"797" 1978 1978.25 4 4 3.56 1
"18" 1978.25 1978.5 0 0 0 1
"213" 1978.25 1978.5 1 1 1180.51 1
"408" 1978.25 1978.5 2 2 649.59 1
"603" 1978.25 1978.5 3 3 193.87 1
"798" 1978.25 1978.5 4 4 0.37 1
"19" 1978.5 1978.75 0 0 304.38 1
"214" 1978.5 1978.75 1 1 2385.07 1
"409" 1978.5 1978.75 2 2 786.2 1
"604" 1978.5 1978.75 3 3 29.59 1
"799" 1978.5 1978.75 4 4 0 1
"20" 1978.75 1979 0 0 1225.27 1
"215" 1978.75 1979 1 1 1400.46 1
"410" 1978.75 1979 2 2 322.14 1
"605" 1978.75 1979 3 3 5.84 1
"800" 1978.75 1979 4 4 0 1
"21" 1979 1979.25 0 0 0 1
"216" 1979 1979.25 1 1 5231.37 1
"411" 1979 1979.25 2 2 968.2 1
"606" 1979 1979.25 3 3 175.1 1
"801" 1979 1979.25 4 4 3.09 1
"22" 1979.25 1979.5 0 0 0 1
"217" 1979.25 1979.5 1 1 3368.1 1
"412" 1979.25 1979.5 2 2 256.47 1
"607" 1979.25 1979.5 3 3 27.81 1
"802" 1979.25 1979.5 4 4 1.03 1
"23" 1979.5 1979.75 0 0 997.04 1
"218" 1979.5 1979.75 1 1 4371.32 1
"413" 1979.5 1979.75 2 2 785.89 1
"608" 1979.5 1979.75 3 3 50.47 1
"803" 1979.5 1979.75 4 4 0 1
"24" 1979.75 1980 0 0 889.92 1
"219" 1979.75 1980 1 1 2218.62 1
"414" 1979.75 1980 2 2 172.01 1
"609" 1979.75 1980 3 3 11.33 1
"804" 1979.75 1980 4 4 0 1
"25" 1980 1980.25 0 0 0 1
"220" 1980 1980.25 1 1 5196.32 1
"415" 1980 1980.25 2 2 1107.25 1
"610" 1980 1980.25 3 3 60.77 1
"805" 1980 1980.25 4 4 2.06 1
"26" 1980.25 1980.5 0 0 0 1
"221" 1980.25 1980.5 1 1 2663.58 1
"416" 1980.25 1980.5 2 2 709.67 1
"611" 1980.25 1980.5 3 3 29.87 1
"806" 1980.25 1980.5 4 4 5.15 1
"27" 1980.5 1980.75 0 0 24.72 1
"222" 1980.5 1980.75 1 1 7942.23 1
"417" 1980.5 1980.75 2 2 2018.8 1
"612" 1980.5 1980.75 3 3 18.54 1
"807" 1980.5 1980.75 4 4 0 1
"28" 1980.75 1981 0 0 660.23 1
"223" 1980.75 1981 1 1 4037.6 1
"418" 1980.75 1981 2 2 527.36 1
"613" 1980.75 1981 3 3 6.18 1
"808" 1980.75 1981 4 4 0 1
"29" 1981 1981.25 0 0 0 1
"224" 1981 1981.25 1 1 2245.23 1
"419" 1981 1981.25 2 2 1704.88 1
"614" 1981 1981.25 3 3 76.76 1
"809" 1981 1981.25 4 4 6.06 1
"30" 1981.25 1981.5 0 0 0 1
"225" 1981.25 1981.5 1 1 1082.72 1
"420" 1981.25 1981.5 2 2 627.21 1
"615" 1981.25 1981.5 3 3 77.77 1
"810" 1981.25 1981.5 4 4 2.02 1
"31" 1981.5 1981.75 0 0 77.77 1
"226" 1981.5 1981.75 1 1 1329.16 1
"421" 1981.5 1981.75 2 2 953.44 1
"616" 1981.5 1981.75 3 3 17.17 1
"811" 1981.5 1981.75 4 4 0 1
"32" 1981.75 1982 0 0 36925.6 1
"227" 1981.75 1982 1 1 1048.38 1
"422" 1981.75 1982 2 2 304.01 1
"617" 1981.75 1982 3 3 3.03 1
"812" 1981.75 1982 4 4 0 1
"33" 1982 1982.25 0 0 0 1
"976" 1982 1982.25 0 0 0 2
"1591" 1982 1982.25 0 0 0 3
"228" 1982 1982.25 1 1 5425.01 1
"1099" 1982 1982.25 1 1 5267 2
"1632" 1982 1982.25 1 1 4511 3
"423" 1982 1982.25 2 2 427.45 1
"1222" 1982 1982.25 2 2 415 2
"1673" 1982 1982.25 2 2 266 3
"618" 1982 1982.25 3 3 222.48 1
"1345" 1982 1982.25 3 3 216 2
"1714" 1982 1982.25 3 3 81 3
"813" 1982 1982.25 4 4 0 1
"1468" 1982 1982.25 4 4 1 2
"1755" 1982 1982.25 4 4 2 3
"34" 1982.25 1982.5 0 0 0 1
"229" 1982.25 1982.5 1 1 3348.53 1
"424" 1982.25 1982.5 2 2 283.25 1
"619" 1982.25 1982.5 3 3 23.69 1
"814" 1982.25 1982.5 4 4 0 1
"35" 1982.5 1982.75 0 0 155.53 1
"977" 1982.5 1982.75 0 0 0 2
"1796" 1982.5 1982.75 0 0 0 4
"2001" 1982.5 1982.75 0 0 0 5
"2206" 1982.5 1982.75 0 0 0 6
"230" 1982.5 1982.75 1 1 6773.28 1
"1100" 1982.5 1982.75 1 1 6576 2
"1837" 1982.5 1982.75 1 1 0 4
"2042" 1982.5 1982.75 1 1 0 5
"2246" 1982.5 1982.75 1 1 0 6
"425" 1982.5 1982.75 2 2 443.93 1
"1223" 1982.5 1982.75 2 2 431 2
"1878" 1982.5 1982.75 2 2 0 4
"2083" 1982.5 1982.75 2 2 0 5
"2286" 1982.5 1982.75 2 2 0 6
"620" 1982.5 1982.75 3 3 63.86 1
"1346" 1982.5 1982.75 3 3 62 2
"1919" 1982.5 1982.75 3 3 0 4
"2124" 1982.5 1982.75 3 3 0 5
"2326" 1982.5 1982.75 3 3 0 6
"815" 1982.5 1982.75 4 4 0 1
"1469" 1982.5 1982.75 4 4 0 2
"1960" 1982.5 1982.75 4 4 0 4
"2165" 1982.5 1982.75 4 4 0 5
"2366" 1982.5 1982.75 4 4 0 6
"36" 1982.75 1983 0 0 1089.74 1
"978" 1982.75 1983 0 0 1058 2
"231" 1982.75 1983 1 1 3107.51 1
"1101" 1982.75 1983 1 1 3017 2
"426" 1982.75 1983 2 2 47.38 1
"1224" 1982.75 1983 2 2 46 2
"621" 1982.75 1983 3 3 0 1
"1347" 1982.75 1983 3 3 0 2
"816" 1982.75 1983 4 4 0 1
"1470" 1982.75 1983 4 4 0 2
"37" 1983 1983.25 0 0 0 1
"979" 1983 1983.25 0 0 0 2
"1592" 1983 1983.25 0 0 0 3
"232" 1983 1983.25 1 1 4207.14 1
"1102" 1983 1983.25 1 1 3969 2
"1633" 1983 1983.25 1 1 2252 3
"427" 1983 1983.25 2 2 1297.44 1
"1225" 1983 1983.25 2 2 1224 2
"1674" 1983 1983.25 2 2 592 3
"622" 1983 1983.25 3 3 14.84 1
"1348" 1983 1983.25 3 3 14 2
"1715" 1983 1983.25 3 3 13 3
"817" 1983 1983.25 4 4 0 1
"1471" 1983 1983.25 4 4 0 2
"1756" 1983 1983.25 4 4 3 3
"38" 1983.25 1983.5 0 0 0 1
"233" 1983.25 1983.5 1 1 1826.38 1
"428" 1983.25 1983.5 2 2 1234.49 1
"623" 1983.25 1983.5 3 3 9.54 1
"818" 1983.25 1983.5 4 4 2.12 1
"39" 1983.5 1983.75 0 0 446.26 1
"980" 1983.5 1983.75 0 0 0 2
"1797" 1983.5 1983.75 0 0 0 4
"2002" 1983.5 1983.75 0 0 0 5
"2207" 1983.5 1983.75 0 0 0 6
"234" 1983.5 1983.75 1 1 5824.7 1
"1103" 1983.5 1983.75 1 1 5495 2
"1838" 1983.5 1983.75 1 1 0 4
"2043" 1983.5 1983.75 1 1 0 5
"2247" 1983.5 1983.75 1 1 0 6
"429" 1983.5 1983.75 2 2 1574.1 1
"1226" 1983.5 1983.75 2 2 1485 2
"1879" 1983.5 1983.75 2 2 0 4
"2084" 1983.5 1983.75 2 2 0 5
"2287" 1983.5 1983.75 2 2 0 6
"624" 1983.5 1983.75 3 3 16.96 1
"1349" 1983.5 1983.75 3 3 16 2
"1920" 1983.5 1983.75 3 3 0 4
"2125" 1983.5 1983.75 3 3 0 5
"2327" 1983.5 1983.75 3 3 0 6
"819" 1983.5 1983.75 4 4 0 1
"1472" 1983.5 1983.75 4 4 0 2
"1961" 1983.5 1983.75 4 4 0 4
"2166" 1983.5 1983.75 4 4 0 5
"2367" 1983.5 1983.75 4 4 0 6
"40" 1983.75 1984 0 0 2671.12 1
"981" 1983.75 1984 0 0 2520 2
"235" 1983.75 1984 1 1 4296.18 1
"1104" 1983.75 1984 1 1 4053 2
"430" 1983.75 1984 2 2 379.48 1
"1227" 1983.75 1984 2 2 358 2
"625" 1983.75 1984 3 3 7.42 1
"1350" 1983.75 1984 3 3 7 2
"820" 1983.75 1984 4 4 0 1
"1473" 1983.75 1984 4 4 0 2
"41" 1984 1984.25 0 0 0 1
"982" 1984 1984.25 0 0 0 2
"1593" 1984 1984.25 0 0 0 3
"236" 1984 1984.25 1 1 2759.32 1
"1105" 1984 1984.25 1 1 2732 2
"1634" 1984 1984.25 1 1 5000 3
"431" 1984 1984.25 2 2 1374.61 1
"1228" 1984 1984.25 2 2 1361 2
"1675" 1984 1984.25 2 2 956 3
"626" 1984 1984.25 3 3 143.42 1
"1351" 1984 1984.25 3 3 142 2
"1716" 1984 1984.25 3 3 89 3
"821" 1984 1984.25 4 4 0 1
"1474" 1984 1984.25 4 4 0 2
"1757" 1984 1984.25 4 4 7 3
"42" 1984.25 1984.5 0 0 0 1
"237" 1984.25 1984.5 1 1 2252.3 1
"432" 1984.25 1984.5 2 2 1164.53 1
"627" 1984.25 1984.5 3 3 268.66 1
