"Year" "recr" "SSB" "TSB" "Fbar"
"1" "1983" "85174" "69790" "1457400" "0.900"
"2" "1984" "46391" "96167" "899941" "1.280"
"3" "1985" "31374" "202261" "479543" "1.325"
"4" "1986" "62990" "109759" "504655" "1.092"
"5" "1987" "16651" "128758" "467805" "0.897"
"6" "1988" "49502" "152249" "399209" "0.637"
"7" "1989" "53328" "113080" "555478" "0.828"
"8" "1990" "47908" "158509" "527237" "0.758"
"9" "1991" "92584" "180673" "744951" "0.881"
"10" "1992" "39962" "231914" "812737" "0.911"
"11" "1993" "28645" "262727" "488122" "0.830"
"12" "1994" "117457" "145877" "697466" "1.050"
"13" "1995" "36917" "174692" "933894" "0.577"
"14" "1996" "89204" "354405" "805622" "0.440"
"15" "1997" "24361" "250131" "840788" "0.575"
"16" "1998" "34769" "317234" "496695" "0.292"
"17" "1999" "85098" "183176" "680896" "0.644"
"18" "2000" "28258" "215901" "823210" "0.567"
"19" "2001" "26035" "282965" "465208" "0.259"
"20" "2002" "17643" "189702" "362388" "0.511"
"21" "2003" "7958" "127679" "227478" "0.245"
"22" "2004" "10066" "97796" "161318" "0.155"
"23" "2005" "39511" "64674" "270824" "0.000"
"24" "2006" "19283" "99382" "419703" "0.255"
"25" "2007" "31400" "178732" "383303" "0.022"
"26" "2008" "60470" "163172" "574134" "0.134"
"27" "2009" "80871" "218885" "885542" "0.246"
"28" "2010" "10394" "358122" "821416" "0.406"
"29" "2011" "16964" "369220" "402643" "0.031"
"30" "2012" "64979" "173367" "487978" "0.318"
"31" "2013" "25110" "165199" "646367" "0.406"
"32" "2014" NA "273915" NA NA
