Catch	in	Numbers	(thousands)									
1	2											
1946	2017											
3	15											
1												
4008	10387	18906	16596	13843	15370	59845	22618	10093	9573	5460	1927	750
710	13192	43890	52017	45501	13075	19718	47678	31392	9348	9330	4622	4103
140	3872	31054	55983	77375	21482	15237	9815	30041	7945	4491	3899	4205
991	6808	35214	100497	83283	29727	13207	5606	8617	13154	3657	1895	2167
1281	10954	29045	45233	62579	30037	19481	9172	6019	4133	6750	1662	1450
24687	77924	64013	46867	37535	33673	23510	10589	4221	1288	1002	3322	611
24099	120704	113203	73827	49389	20562	24367	15651	8327	3565	647	467	1044
47413	107659	112040	55500	22742	16863	10559	10553	5637	1752	468	173	156
11473	155171	146395	100751	40635	10713	11791	8557	6751	2370	896	268	123
3902	37652	201834	161336	84031	30451	13713	9481	4140	2406	867	355	128
10614	24172	129803	250472	86784	51091	14987	7465	3952	1655	1292	448	166
17321	33931	27182	70702	87033	39213	17747	6219	3232	1220	347	299	173
31219	133576	71051	40737	38380	35786	13338	10475	3289	1070	252	40	141
32308	77942	148285	53480	18498	17735	23118	9483	3748	997	254	161	98
37882	97865	64222	67425	23117	8429	7240	11675	4504	1843	354	102	226
45478	132655	123458	51167	38740	17376	5791	6778	5560	1682	910	280	108
42416	170566	167241	89460	28297	21996	7956	2728	2603	1647	392	280	103
13196	106984	205549	95498	35518	16221	11894	3884	1021	1025	498	129	157
5298	45912	97950	58575	19642	9162	6196	3553	783	172	387	264	131
15725	25999	78299	68511	25444	8438	3569	1467	1161	131	61	79	197
55937	55644	34676	42539	37169	18500	5077	1495	380	403	77	9	70
34467	160048	69235	22061	26295	25139	11323	2329	687	316	225	40	14
3709	174585	267961	107051	26701	16399	11597	3657	657	122	124	70	46
2307	24545	238511	181239	79363	26989	13463	5092	1913	414	121	23	46
7164	10792	25813	137829	96420	31920	8933	3249	1232	260	106	39	35
7754	13739	11831	9527	59290	52003	12093	2434	762	418	149	42	25
35536	45431	26832	12089	7918	34885	22315	4572	1215	353	315	121	40
294262	131493	61000	20569	7248	8328	19130	4499	677	195	81	59	55
91855	437377	203772	47006	12630	4370	2523	5607	2127	322	151	83	62
45282	59798	226646	118567	29522	9353	2617	1555	1928	575	231	15	37
85337	114341	79993	118236	47872	13962	4051	936	558	442	139	26	53
39594	168609	136335	52925	61821	23338	5659	1521	610	271	122	92	54
78822	45400	88495	56823	25407	31821	9408	1227	913	446	748	48	51
8600	77484	43677	31943	16815	8274	10974	1785	427	103	59	38	45
3911	17086	81986	40061	17664	7442	3508	3196	678	79	24	26	8
3407	9466	20803	63433	21788	9933	4267	1311	882	109	37	3	1
8948	20933	19345	28084	42496	8395	2878	708	271	260	27	5	5
3108	19594	20473	17656	17004	18329	2545	646	229	74	58	20	5
6942	14240	18807	20086	15145	8287	5988	783	232	153	49	12	8
24634	45769	27806	19418	11369	3747	1557	768	137	36	31	32	8
28968	70993	78672	25215	11711	4063	976	726	557	136	28	34	14
13648	137106	98210	61407	13707	3866	910	455	187	227	21	59	20
9828	22774	135347	54379	21015	3304	1236	519	106	69	43	14	5
5085	17313	32165	81756	27854	5501	827	290	41	13	1	11	16
1911	7551	12999	17827	30007	6810	828	179	59	15	6	5	2
4963	10933	16467	20342	19479	25193	3888	428	48	12	1	1	2
21835	36015	27494	23392	18351	13541	18321	2529	264	82	3	9	1
10094	46182	63578	33623	14866	9449	6571	12593	1749	377	63	22	1
6531	59444	102548	59766	32504	10019	6163	3671	7528	995	121	19	4
4879	42587	115329	98485	32036	7334	3014	1725	1174	1920	222	41	1
7655	28782	80711	100509	54590	10545	2023	930	462	230	809	84	1
12827	36491	69633	83017	65768	28392	4651	1151	373	213	144	238	1
31887	88874	48972	40493	34513	26354	6583	965	197	69	42	22	53
7501	77714	92816	31139	15778	15851	8828	1837	195	40	34	8	30
4701	33094	93044	47210	12671	6677	4787	1647	321	71	11	1	14
5044	35019	62139	62456	22794	5266	1773	1163	343	85	6	7	22
2348	31033	76175	67656	42122	11527	1801	529	223	120	21	9	6
7263	20885	64447	71109	36706	14002	2887	492	142	97	21	43	1
2090	38226	50826	68350	50838	18118	6239	1746	295	127	39	16	8
5815	19768	113144	61665	44777	20553	6285	2348	562	100	21	24	7
8548	47207	33625	78150	31770	15667	7245	1788	737	210	26	45	155
25473	43817	62877	26303	34392	11240	4080	1381	505	285	44	13	35
8459	51704	40656	35072	14037	20676	5503	1794	715	229	42	26	13
4866	38711	83998	46639	20789	8417	8920	1957	872	987	76	21	20
1778	16193	53855	75853	36797	17062	4784	4325	3034	913	189	49	35
1418	8033	32472	70938	73875	21116	11708	5058	3237	600	434	12	0
2695	10462	16646	40372	70014	48315	12326	5214	1926	1124	317	70	24
2903	13659	22752	21020	54231	74451	47124	9143	2963	694	449	89	145
5234	19226	38407	36633	29901	56109	47540	22738	3717	1169	313	210	157
4315	31383	41181	51209	33745	22530	23609	24553	16071	2510	468	134	254
2076	11291	50231	43609	35265	23417	14592	20105	15862	4781	871	249	308
6535	13128	28365	66504	46136	28507	15307	10073	12169	6465	1927	399	285



