Proportion	Mature	at	Year	Start								
1	6											
1946	2018											
3	15											
1												
0	0	0.01	0.03	0.06	0.11	0.18	0.44	0.65	0.86	0.96	0.96	1
0	0	0.01	0.03	0.06	0.13	0.16	0.42	0.75	0.91	0.95	1.00	1
0	0	0.01	0.03	0.07	0.13	0.25	0.47	0.73	0.91	0.97	1.00	1
0	0	0.01	0.03	0.09	0.17	0.29	0.54	0.79	0.88	0.97	1.00	1
0	0	0.01	0.03	0.09	0.23	0.35	0.52	0.79	0.95	0.97	1.00	1
0	0	0.01	0.03	0.1	0.24	0.4	0.58	0.72	0.85	0.96	1.00	1
0	0	0.01	0.03	0.08	0.22	0.41	0.63	0.82	0.92	0.97	1.00	1
0	0	0.01	0.03	0.07	0.19	0.4	0.64	0.84	0.94	0.97	1.00	1
0	0	0.01	0.03	0.08	0.16	0.37	0.68	0.87	0.93	0.96	1.00	1
0	0	0.01	0.03	0.07	0.13	0.26	0.53	0.83	0.92	0.97	1.00	1
0	0	0.01	0.03	0.06	0.12	0.14	0.41	0.67	0.91	0.96	1.00	1
0	0	0.01	0.03	0.06	0.09	0.12	0.22	0.6	0.82	0.97	1.00	1
0	0	0.01	0.03	0.06	0.1	0.1	0.3	0.5	0.82	0.97	1.00	1
0	0	0.01	0.04	0.12	0.34	0.49	0.67	0.84	0.87	1	1	1
0	0.01	0.03	0.06	0.1	0.19	0.45	0.69	0.77	0.85	0.99	1	1
0	0	0.01	0.06	0.12	0.31	0.65	0.91	0.98	0.98	1	0.96	1
0	0	0.01	0.05	0.15	0.34	0.61	0.81	0.92	0.97	1	0.932	1
0	0.01	0.01	0.03	0.07	0.28	0.42	0.81	0.98	0.98	1	0.966	1
0	0	0	0.03	0.13	0.37	0.66	0.89	0.95	0.99	1	1	1
0	0	0	0.01	0.06	0.2	0.55	0.73	0.99	0.98	1	1	1
0	0	0.01	0.02	0.06	0.22	0.35	0.74	0.94	0.94	1	1	1
0	0	0	0.03	0.07	0.14	0.38	0.64	0.89	0.9	1	1	1
0	0	0.03	0.05	0.09	0.19	0.39	0.58	0.82	1	1	1	1
0	0	0	0.02	0.04	0.12	0.34	0.55	0.74	0.95	1	1	1
0	0.01	0	0.01	0.07	0.23	0.58	0.81	0.89	0.91	1	1	1
0	0	0.01	0.05	0.11	0.3	0.59	0.79	0.86	0.88	1	1	1
0.01	0.02	0.02	0.01	0.1	0.34	0.64	0.81	0.94	1	1	1	1
0	0	0	0.02	0.16	0.53	0.81	0.92	0.95	0.98	1	1	1
0	0	0	0.01	0.03	0.21	0.5	0.96	1	0.96	1	1	1
0	0	0.01	0.02	0.09	0.21	0.56	0.78	0.79	0.95	1	1	1
0	0	0	0.05	0.12	0.29	0.45	0.84	0.83	1	0.9	1	1
0	0	0.02	0.08	0.26	0.54	0.76	0.87	0.93	0.94	0.9	1	1
